Index,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,ID
24402,Souryam,2008,151 min,5.8,163,"Action, Drama            ",telugu,tt1612039
24403,Jeena Hain Pyar Mein,1983,-,-,-,Romance            ,hindi,tt2710414
24404,Ivide Ee Theerathu,1985,-,-,-,-,malayalam,tt0277760
24405,Sangeet,1992,144 min,5.7,147,"Drama, Romance            ",hindi,tt0105313
24406,Aakhree Raasta,1986,164 min,7.1,"1,262","Action, Crime, Drama            ",hindi,tt0090575
24407,Manpeda,1971,-,-,-,-,malayalam,tt0257897
24408,Shob Bhooturey,2017,115 min,5.4,181,Horror            ,bengali,tt7791106
24409,Ghar Ghar Ki Baat,1959,-,-,-,"Drama, Family            ",hindi,tt0212964
24410,Arunachalam,1999,165 min,7.4,"1,964","Action, Comedy, Drama            ",tamil,tt0139861
24411,Bela,2021,58 min,-,-,-,bengali,tt14456690
24412,Ivare Sookshikkuka,1987,-,-,-,-,malayalam,tt0352451
24413,Turdaksok Mimag,2009,130 min,-,-,Drama            ,assamese,tt4057240
24414,And Unto the Void,1967,-,-,-,Drama            ,hindi,tt2448408
24415,Kaalrathiri,1980,-,-,-,Musical            ,telugu,tt0280804
24416,Andarikante Ghanudu,1987,-,-,-,-,telugu,tt1431003
24417,Velaiyilla Pattathari,2014,133 min,7.8,"5,843","Action, Comedy, Drama            ",tamil,tt3822396
24418,Hanuman Vijay,1974,120 min,7.4,11,Fantasy            ,hindi,tt0242502
24419,Daraar 2,2018,-,-,-,Drama            ,bhojpuri,tt8388722
24420,Lalsa,,-,-,-,Drama            ,marathi,-
24421,Kyon? Kis Liye?,2003,130 min,-,-,"Crime, Drama            ",hindi,tt1440222
24422,Sagar Balaka,1983,110 min,7.4,8,Drama            ,bengali,tt0216170
24423,Agaram,2007,137 min,-,-,"Action, Drama            ",tamil,tt8479614
24424,Medicine Lamps,2019,76 min,-,-,Drama            ,marathi,tt11559212
24425,Women's Police Station,2013,64 min,-,-,"Documentary, Drama            ",urdu,tt2768788
24426,Shraddhanjali,1993,-,-,-,Drama            ,bengali,tt1548634
24427,14th Day,2019,-,-,-,"Short, Romance, War            ",malayalam,tt10068004
24428,Mukhra,1988,-,4,34,Romance            ,punjabi,tt0251281
24429,Chora Chuvanna Chora,1980,-,-,-,-,malayalam,tt0331937
24430,Nenjinile,1999,122 min,5.5,133,"Action, Crime, Drama            ",tamil,tt1192385
24431,Mukhyamanthri,1985,-,-,-,-,malayalam,tt0275534
24432,Parampara,2003,-,-,-,Drama            ,bengali,tt7158416
24433,Oka Tupaki Moodu Pittalu,2019,-,-,-,"Comedy, Romance            ",telugu,tt10180760
24434,Ramana,I 2002,140 min,8.2,"1,847","Action, Drama            ",tamil,tt0378647
24435,Baghtos Kay Mujra Kar,2017,142 min,7.1,134,"Comedy, Drama            ",marathi,tt6009102
24436,Dada,2005,125 min,4.6,9,Thriller            ,bengali,tt6159072
24437,Poomaram,2018,152 min,6.7,716,Drama            ,malayalam,tt6277824
24438,Abhay,1995,127 min,7.2,60,Fantasy            ,tamil,tt2451894
24439,Zindagani,1986,131 min,7.1,27,Drama            ,hindi,tt0390657
24440,Mukti,I 1977,150 min,7.2,65,"Crime, Drama, Romance            ",hindi,tt0369746
24441,Vyooham,1990,-,6.4,22,"Action, Crime, Thriller            ",malayalam,tt0275778
